Year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,NCT of Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
2004-05,12519,255,3896,7399,5716,46,169,11257,6425,953,1102,1637,12807,2996,20203,22368,238,265,97,380,8718,39,7931,21062,123,5889,,281,25524,1235,9523
2005-06,13362,266,3949,7396,5746,44,170,11495,6504,944,1101,1548,13027,2986,19608,22556,225,258,98,387,8928,36,7868,21699,123,6033,,280,25307,1212,9533
2006-07,12811,271,3763,7719,5732,43,172,11807,6394,944,1126,1649,12438,2918,20113,22571,225,246,91,406,8960,36,7861,21534,123,5843,,276,25415,1210,9635
2007-08,13567,272,3839,7765,5748,44,170,12211,6458,954,1134,1675,12893,2761,20416,22655,235,283,96,400,9016,35,7870,22208,118,5815,,276,25320,1187,9752
2008-09,13830,276,3999,7671,5683,43,166,12320,6484,946,1137,1689,12368,2695,20657,22454,236,337,95,402,9071,33,7912,22771,118,5824,,263,25471,1193,9802
2009-10,12560,276,4099,7296,5561,46,160,12351,6351,941,1145,1399,12873,2669,21411,22612,234,336,123,486,5510,32,7875,21745,144,5572,,453,25440,1166,9530
2010-11,14512,278,4160,7194,5671,44,160,12257,6505,939,1140,1249,13062,2647,22046,23175,348,338,121,452,5429,31,7883,26002,152,5753,,470,25615,1170,8832
2011-12,13759,281,4174,7647,5664,40,164,12836,6489,932,1161,1430,12059,2662,22516,22080,365,339,97,474,4964,27,7905,24505,137,5890,,472,25939,1132,9353
2012-13,13650,285,4076,7778,5691,48,163,12600,6376,934,1162,1657,11748,2592,23130,21943,309,340,116,489,5069,26,7870,23954,144,5140,,474,25821,1124,9459
2013-14,8128,296,4100,7580,5698,35,158,12487,6471,940,1160,1672,12267,2617,24047,23328,377,343,114,499,5168,25,7848,26120,147,5897,6288,474,25896,1099,9618
2014-15,7690,299,4083,7673,5728,35,158,12773,6536,918,1196,1554,12247,2625,23810,23474,383,343,145,500,5173,27,7857,24235,136,5995,5315,483,26147,1097,9690
2015-16,7532,301,4060,7572,5640,58,157,12590,6510,933,1159,1812,12009,2628,23714,23467,437,303,188,504,4803,26,7872,25014,137,6074,4893,486,26203,1083,9881
2016-17,7418,313,4087,7654,5673,57,155,12949,6452,959,1177,2045,11779,2584,24214,23947,469,309,186,521,4884,26,7804,26036,146,5129,5970,491,26949,1082,9618
2017-18,7445,316,4045,7525,5540,59,152,13108,6549,917,1165,2033,11994,2580,25114,23109,446,309,188,530,4502,26,7779,25069,153,5730,6059,487,26864,1060,9945
2018-19,7297,320,4004,7406,5614,59,150,12233,6605,914,1124,1824,13551,2571,26115,19139,441,312,187,529,4527,27,7851,25313,162,5672,5774,487,26859,1029,9960
